,name,group_order,prd_tuples
281,B_2^1+B_2^1+A_3^2,36,"[(2, 1, 2), (2, 1, 2), (3, 2, 1)]"
282,E_2^1+A_3^2,36,"[(2, 1, 5), (3, 2, 1)]"
283,F_2^1+A_3^2,36,"[(2, 1, 6), (3, 2, 1)]"
284,A_2^1+A_2^1+B_3^2,36,"[(2, 1, 1), (2, 1, 1), (3, 2, 2)]"
285,A_2^1+B_2^1+B_3^2,36,"[(2, 1, 1), (2, 1, 2), (3, 2, 2)]"
286,B_2^1+B_2^1+B_3^2,36,"[(2, 1, 2), (2, 1, 2), (3, 2, 2)]"
287,E_2^1+B_3^2,36,"[(2, 1, 5), (3, 2, 2)]"
288,F_2^1+B_3^2,36,"[(2, 1, 6), (3, 2, 2)]"
289,A_2^1+A_2^1+A_3^1+A_3^1,36,"[(2, 1, 1), (2, 1, 1), (3, 1, 1), (3, 1, 1)]"
290,A_2^1+B_2^1+A_3^1+A_3^1,36,"[(2, 1, 1), (2, 1, 2), (3, 1, 1), (3, 1, 1)]"
291,B_2^1+B_2^1+A_3^1+A_3^1,36,"[(2, 1, 2), (2, 1, 2), (3, 1, 1), (3, 1, 1)]"
292,E_2^1+A_3^1+A_3^1,36,"[(2, 1, 5), (3, 1, 1), (3, 1, 1)]"
293,F_2^1+A_3^1+A_3^1,36,"[(2, 1, 6), (3, 1, 1), (3, 1, 1)]"
294,A_37^1,37,"[(37, 1, 1)]"
295,B_37^1,37,"[(37, 1, 2)]"
296,A_2^1+A_19^1,38,"[(2, 1, 1), (19, 1, 1)]"
297,B_2^1+A_19^1,38,"[(2, 1, 2), (19, 1, 1)]"
298,A_2^1+B_19^1,38,"[(2, 1, 1), (19, 1, 2)]"
299,B_2^1+B_19^1,38,"[(2, 1, 2), (19, 1, 2)]"
300,A_3^1+A_13^1,39,"[(3, 1, 1), (13, 1, 1)]"
301,B_3^1+A_13^1,39,"[(3, 1, 2), (13, 1, 1)]"
302,A_3^1+B_13^1,39,"[(3, 1, 1), (13, 1, 2)]"
303,B_3^1+B_13^1,39,"[(3, 1, 2), (13, 1, 2)]"
304,A_2^3+A_5^1,40,"[(2, 3, 1), (5, 1, 1)]"
305,B_2^3+A_5^1,40,"[(2, 3, 2), (5, 1, 1)]"
306,C_2^3+A_5^1,40,"[(2, 3, 3), (5, 1, 1)]"
307,D_2^3+A_5^1,40,"[(2, 3, 4), (5, 1, 1)]"
